,Date,Confirmed_Distinct,Deaths_Distinct,Recovered_Distinct,Active_Distinct
0,2020-03-05,1.0,0.0,0.0,1.0
1,2020-03-06,0.0,0.0,0.0,0.0
2,2020-03-07,0.0,0.0,0.0,0.0
3,2020-03-08,2.0,0.0,0.0,2.0
4,2020-03-09,0.0,0.0,0.0,0.0
5,2020-03-10,4.0,0.0,0.0,4.0
6,2020-03-11,6.0,0.0,0.0,6.0
7,2020-03-12,4.0,0.0,0.0,4.0
8,2020-03-13,7.0,0.0,0.0,7.0
9,2020-03-14,14.0,0.0,0.0,14.0
10,2020-03-15,13.0,0.0,0.0,13.0
11,2020-03-16,11.0,0.0,0.0,11.0
12,2020-03-17,0.0,0.0,0.0,0.0
13,2020-03-18,54.0,0.0,0.0,54.0
14,2020-03-19,34.0,0.0,0.0,34.0
15,2020-03-20,52.0,0.0,0.0,52.0
16,2020-03-21,38.0,0.0,0.0,38.0
17,2020-03-22,34.0,0.0,0.0,34.0
18,2020-03-23,128.0,0.0,0.0,128.0
19,2020-03-24,152.0,0.0,4.0,148.0
20,2020-03-25,155.0,0.0,8.0,147.0
21,2020-03-26,218.0,0.0,0.0,218.0
22,2020-03-27,243.0,1.0,19.0,223.0
23,2020-03-28,17.0,0.0,0.0,17.0
24,2020-03-29,93.0,1.0,0.0,92.0
25,2020-03-30,46.0,1.0,0.0,45.0
26,2020-03-31,27.0,2.0,0.0,25.0
27,2020-04-01,27.0,0.0,19.0,8.0
28,2020-04-02,82.0,0.0,0.0,82.0
29,2020-04-03,43.0,4.0,45.0,0.0
30,2020-04-04,80.0,0.0,0.0,80.0
31,2020-04-05,70.0,2.0,0.0,68.0
32,2020-04-06,31.0,1.0,0.0,30.0
33,2020-04-07,63.0,1.0,0.0,62.0
34,2020-04-08,96.0,5.0,0.0,91.0
35,2020-04-09,89.0,0.0,0.0,89.0
36,2020-04-10,69.0,6.0,315.0,0.0
37,2020-04-11,25.0,1.0,0.0,24.0
38,2020-04-12,145.0,0.0,0.0,145.0
39,2020-04-13,99.0,2.0,0.0,97.0
40,2020-04-14,143.0,0.0,0.0,143.0
41,2020-04-15,91.0,7.0,0.0,84.0
42,2020-04-16,99.0,14.0,493.0,0.0
43,2020-04-17,178.0,2.0,0.0,176.0
44,2020-04-18,251.0,2.0,0.0,249.0
45,2020-04-19,124.0,2.0,0.0,122.0
46,2020-04-20,142.0,4.0,152.0,0.0
47,2020-04-21,165.0,0.0,0.0,165.0
48,2020-04-22,170.0,7.0,0.0,163.0
49,2020-04-23,318.0,10.0,418.0,0.0
50,2020-04-24,267.0,4.0,0.0,263.0
51,2020-04-25,141.0,7.0,0.0,134.0
52,2020-04-26,185.0,1.0,0.0,184.0
53,2020-04-27,247.0,3.0,0.0,244.0
54,2020-04-28,203.0,3.0,600.0,0.0
55,2020-04-29,354.0,10.0,0.0,344.0
56,2020-04-30,297.0,0.0,0.0,297.0
57,2020-05-01,304.0,13.0,309.0,0.0
58,2020-05-02,385.0,7.0,167.0,211.0
59,2020-05-03,447.0,8.0,0.0,439.0
60,2020-05-04,437.0,7.0,197.0,233.0
61,2020-05-05,352.0,10.0,0.0,342.0
62,2020-05-06,236.0,5.0,407.0,0.0
63,2020-05-07,424.0,8.0,0.0,416.0
64,2020-05-08,663.0,17.0,0.0,646.0
65,2020-05-09,525.0,8.0,830.0,0.0
66,2020-05-10,595.0,8.0,190.0,397.0
67,2020-05-11,637.0,12.0,184.0,441.0
