,Date,Confirmed_Distinct,Deaths_Distinct,Recovered_Distinct,Active_Distinct
0,2020-01-22,1.0,0.0,0.0,1.0
1,2020-01-23,0.0,0.0,0.0,0.0
2,2020-01-24,1.0,0.0,0.0,1.0
3,2020-01-25,0.0,0.0,0.0,0.0
4,2020-01-26,3.0,0.0,0.0,3.0
5,2020-01-27,0.0,0.0,0.0,0.0
6,2020-01-28,0.0,0.0,0.0,0.0
7,2020-01-29,1.0,0.0,0.0,1.0
8,2020-01-30,0.0,0.0,0.0,0.0
9,2020-01-31,2.0,0.0,0.0,2.0
10,2020-02-01,0.0,0.0,0.0,0.0
11,2020-02-02,0.0,0.0,0.0,0.0
12,2020-02-03,3.0,0.0,0.0,3.0
13,2020-02-04,0.0,0.0,0.0,0.0
14,2020-02-05,0.0,0.0,0.0,0.0
15,2020-02-06,1.0,0.0,0.0,1.0
16,2020-02-07,0.0,0.0,0.0,0.0
17,2020-02-08,0.0,0.0,0.0,0.0
18,2020-02-09,0.0,0.0,3.0,0.0
19,2020-02-10,0.0,0.0,0.0,0.0
20,2020-02-11,1.0,0.0,0.0,1.0
21,2020-02-12,0.0,0.0,0.0,0.0
22,2020-02-13,1.0,0.0,0.0,1.0
23,2020-02-14,0.0,0.0,0.0,0.0
24,2020-02-15,0.0,0.0,0.0,0.0
25,2020-02-16,0.0,0.0,0.0,0.0
26,2020-02-17,0.0,0.0,0.0,0.0
27,2020-02-18,0.0,0.0,0.0,0.0
28,2020-02-19,0.0,0.0,0.0,0.0
29,2020-02-20,0.0,0.0,0.0,0.0
30,2020-02-21,2.0,0.0,2.0,0.0
31,2020-02-22,0.0,0.0,0.0,0.0
32,2020-02-23,0.0,0.0,0.0,0.0
33,2020-02-24,0.0,0.0,0.0,0.0
34,2020-02-25,0.0,0.0,1.0,0.0
35,2020-02-26,0.0,0.0,0.0,0.0
36,2020-02-27,1.0,0.0,0.0,1.0
37,2020-02-28,0.0,0.0,1.0,0.0
38,2020-02-29,8.0,1.0,0.0,7.0
39,2020-03-01,7.0,0.0,0.0,7.0
40,2020-03-02,23.0,5.0,0.0,18.0
41,2020-03-03,19.0,1.0,0.0,18.0
42,2020-03-04,33.0,4.0,0.0,29.0
43,2020-03-05,77.0,1.0,0.0,76.0
44,2020-03-06,53.0,2.0,0.0,51.0
45,2020-03-07,166.0,3.0,0.0,163.0
46,2020-03-08,116.0,4.0,0.0,112.0
47,2020-03-09,75.0,1.0,0.0,74.0
48,2020-03-10,188.0,6.0,1.0,181.0
49,2020-03-11,365.0,5.0,0.0,360.0
50,2020-03-12,439.0,10.0,4.0,425.0
51,2020-03-13,633.0,8.0,0.0,625.0
52,2020-03-14,759.0,7.0,0.0,752.0
53,2020-03-15,234.0,12.0,0.0,222.0
54,2020-03-16,1467.0,27.0,5.0,1435.0
55,2020-03-17,1833.0,37.0,0.0,1796.0
56,2020-03-18,2657.0,60.0,88.0,2509.0
57,2020-03-19,4494.0,72.0,16.0,4406.0
58,2020-03-20,6367.0,106.0,26.0,6235.0
59,2020-03-21,5995.0,103.0,29.0,5863.0
60,2020-03-22,8919.0,128.0,2.0,8747.0
61,2020-03-23,11152.0,187.0,0.0,11047.0
62,2020-03-24,10618.0,243.0,170.0,10206.0
63,2020-03-25,12127.0,333.0,13.0,11735.0
64,2020-03-26,17821.0,417.0,320.0,17118.0
65,2020-03-27,18591.0,522.0,188.0,17980.0
66,2020-03-28,22164.0,713.0,203.0,18777.0
67,2020-03-29,16127.0,555.0,1593.0,16690.0
68,2020-03-30,22154.0,707.0,2979.0,18383.0
69,2020-03-31,26381.0,1079.0,1380.0,23849.0
70,2020-04-01,35824.0,1637.0,1450.0,29552.0
71,2020-04-02,32280.0,1560.0,527.0,30181.0
72,2020-04-03,32447.0,1429.0,706.0,30172.0
73,2020-04-04,31710.0,1620.0,4945.0,25873.0
74,2020-04-05,28777.0,1622.0,2796.0,25484.0
75,2020-04-06,31993.0,1762.0,2133.0,27485.0
76,2020-04-07,30146.0,2606.0,2182.0,26024.0
