,Date,Confirmed_Distinct,Deaths_Distinct,Recovered_Distinct,Active_Distinct
0,2020-01-27,1.0,0.0,0.0,1.0
1,2020-01-28,3.0,0.0,0.0,3.0
2,2020-01-29,0.0,0.0,0.0,0.0
3,2020-01-30,0.0,0.0,0.0,0.0
4,2020-01-31,1.0,0.0,0.0,1.0
5,2020-02-01,3.0,0.0,0.0,3.0
6,2020-02-02,2.0,0.0,0.0,2.0
7,2020-02-03,2.0,0.0,0.0,2.0
8,2020-02-04,0.0,0.0,0.0,0.0
9,2020-02-05,0.0,0.0,0.0,0.0
10,2020-02-06,0.0,0.0,0.0,0.0
11,2020-02-07,1.0,0.0,0.0,1.0
12,2020-02-08,0.0,0.0,0.0,0.0
13,2020-02-09,1.0,0.0,0.0,1.0
14,2020-02-10,0.0,0.0,0.0,0.0
15,2020-02-11,2.0,0.0,0.0,2.0
16,2020-02-12,0.0,0.0,0.0,0.0
17,2020-02-13,0.0,0.0,1.0,0.0
18,2020-02-14,0.0,0.0,0.0,0.0
19,2020-02-15,0.0,0.0,0.0,0.0
20,2020-02-16,0.0,0.0,0.0,0.0
21,2020-02-17,0.0,0.0,0.0,0.0
22,2020-02-18,0.0,0.0,11.0,0.0
23,2020-02-19,0.0,0.0,0.0,0.0
24,2020-02-20,0.0,0.0,0.0,0.0
25,2020-02-21,0.0,0.0,2.0,0.0
26,2020-02-22,0.0,0.0,0.0,0.0
27,2020-02-23,0.0,0.0,0.0,0.0
28,2020-02-24,0.0,0.0,0.0,0.0
29,2020-02-25,0.0,0.0,0.0,1.0
30,2020-02-26,5.0,0.0,1.0,9.0
31,2020-02-27,5.0,0.0,1.0,18.0
32,2020-02-28,27.0,0.0,0.0,2.0
33,2020-02-29,13.0,0.0,0.0,31.0
34,2020-03-01,51.0,0.0,0.0,51.0
35,2020-03-02,33.0,0.0,0.0,29.0
36,2020-03-03,38.0,0.0,0.0,37.0
37,2020-03-04,74.0,0.0,0.0,66.0
38,2020-03-05,138.0,0.0,0.0,220.0
39,2020-03-06,239.0,0.0,1.0,187.0
40,2020-03-07,156.0,0.0,1.0,128.0
41,2020-03-08,107.0,0.0,0.0,241.0
42,2020-03-09,237.0,2.0,0.0,134.0
43,2020-03-10,157.0,0.0,0.0,281.0
44,2020-03-11,271.0,1.0,7.0,443.0
45,2020-03-12,802.0,2.0,0.0,170.0
46,2020-03-13,693.0,0.0,21.0,1572.0
47,2020-03-14,733.0,3.0,0.0,908.0
48,2020-03-15,1043.0,4.0,0.0,1208.0
49,2020-03-16,1174.0,1.0,21.0,1450.0
50,2020-03-17,1144.0,0.0,0.0,1978.0
51,2020-03-18,1042.0,0.0,38.0,3028.0
52,2020-03-19,2801.0,8.0,8.0,2969.0
53,2020-03-20,2958.0,11.0,67.0,4438.0
