,Date,Confirmed_Distinct,Deaths_Distinct,Recovered_Distinct,Active_Distinct
0,2020-01-31,2.0,0.0,0.0,2.0
1,2020-02-01,0.0,0.0,0.0,0.0
2,2020-02-02,0.0,0.0,0.0,0.0
3,2020-02-03,0.0,0.0,0.0,0.0
4,2020-02-04,0.0,0.0,0.0,0.0
5,2020-02-05,0.0,0.0,0.0,0.0
6,2020-02-06,0.0,0.0,0.0,0.0
7,2020-02-07,1.0,0.0,0.0,1.0
8,2020-02-08,0.0,0.0,0.0,0.0
9,2020-02-09,0.0,0.0,0.0,0.0
10,2020-02-10,0.0,0.0,0.0,0.0
11,2020-02-11,0.0,0.0,0.0,0.0
12,2020-02-12,0.0,0.0,0.0,0.0
13,2020-02-13,0.0,0.0,0.0,0.0
14,2020-02-14,0.0,0.0,0.0,0.0
15,2020-02-15,0.0,0.0,0.0,0.0
16,2020-02-16,0.0,0.0,0.0,0.0
17,2020-02-17,0.0,0.0,0.0,0.0
18,2020-02-18,0.0,0.0,0.0,0.0
19,2020-02-19,0.0,0.0,0.0,0.0
20,2020-02-20,0.0,0.0,0.0,0.0
21,2020-02-21,17.0,1.0,0.0,16.0
22,2020-02-22,42.0,1.0,1.0,40.0
23,2020-02-23,93.0,1.0,1.0,91.0
24,2020-02-24,74.0,4.0,0.0,71.0
25,2020-02-25,93.0,3.0,0.0,90.0
26,2020-02-26,131.0,2.0,2.0,127.0
27,2020-02-27,202.0,5.0,42.0,155.0
28,2020-02-28,233.0,4.0,1.0,228.0
29,2020-02-29,240.0,8.0,0.0,232.0
30,2020-03-01,566.0,5.0,37.0,524.0
31,2020-03-02,342.0,18.0,66.0,258.0
32,2020-03-03,466.0,27.0,11.0,428.0
33,2020-03-04,587.0,28.0,116.0,443.0
34,2020-03-05,769.0,41.0,138.0,590.0
35,2020-03-06,778.0,49.0,109.0,620.0
36,2020-03-07,1247.0,36.0,66.0,1145.0
37,2020-03-08,1492.0,133.0,33.0,1326.0
38,2020-03-09,1797.0,97.0,102.0,1598.0
39,2020-03-10,977.0,168.0,0.0,809.0
40,2020-03-11,2313.0,196.0,321.0,1796.0
41,2020-03-12,2651.0,189.0,0.0,2462.0
42,2020-03-13,2547.0,250.0,394.0,1903.0
43,2020-03-14,3497.0,175.0,527.0,2795.0
44,2020-03-15,3590.0,368.0,369.0,2853.0
45,2020-03-16,3233.0,349.0,414.0,2470.0
46,2020-03-17,3526.0,345.0,192.0,2989.0
47,2020-03-18,4207.0,475.0,1084.0,2648.0
48,2020-03-19,5322.0,427.0,415.0,4480.0
49,2020-03-20,5986.0,627.0,0.0,5359.0
50,2020-03-21,6557.0,793.0,1632.0,4132.0
51,2020-03-22,5560.0,651.0,952.0,3957.0
52,2020-03-23,4789.0,601.0,0.0,4188.0
53,2020-03-24,5249.0,743.0,1302.0,3204.0
54,2020-03-25,5210.0,683.0,1036.0,3491.0
55,2020-03-26,6203.0,712.0,999.0,4492.0
56,2020-03-27,5909.0,919.0,589.0,4401.0
57,2020-03-28,5974.0,889.0,1434.0,3651.0
58,2020-03-29,5217.0,756.0,646.0,3815.0
59,2020-03-30,4050.0,812.0,1590.0,1648.0
60,2020-03-31,4053.0,837.0,1109.0,2107.0
61,2020-04-01,4782.0,727.0,1118.0,2937.0
62,2020-04-02,4668.0,760.0,1431.0,2477.0
63,2020-04-03,4585.0,766.0,1480.0,2339.0
64,2020-04-04,4805.0,681.0,1238.0,2886.0
65,2020-04-05,4316.0,525.0,819.0,2972.0
66,2020-04-06,3599.0,636.0,1022.0,1941.0
67,2020-04-07,3039.0,604.0,1555.0,880.0
68,2020-04-08,3836.0,542.0,2099.0,1195.0
69,2020-04-09,4204.0,610.0,1979.0,1615.0
70,2020-04-10,3951.0,570.0,1985.0,1396.0
71,2020-04-11,4694.0,619.0,2079.0,1996.0
72,2020-04-12,4092.0,431.0,1677.0,1984.0
73,2020-04-13,3153.0,566.0,1224.0,1363.0
74,2020-04-14,2972.0,602.0,1695.0,675.0
75,2020-04-15,2667.0,578.0,962.0,1127.0
76,2020-04-16,3786.0,525.0,2072.0,1189.0
77,2020-04-17,3493.0,575.0,2563.0,355.0
78,2020-04-18,3491.0,482.0,2200.0,809.0
79,2020-04-19,3047.0,433.0,2128.0,486.0
80,2020-04-20,2256.0,454.0,1822.0,0.0
81,2020-04-21,2729.0,534.0,2723.0,0.0
82,2020-04-22,3370.0,437.0,2943.0,0.0
83,2020-04-23,2646.0,464.0,3033.0,0.0
84,2020-04-24,3021.0,420.0,2922.0,0.0
85,2020-04-25,2357.0,415.0,2622.0,0.0
86,2020-04-26,2324.0,260.0,1808.0,256.0
87,2020-04-27,1739.0,333.0,1696.0,0.0
88,2020-04-28,2091.0,382.0,2317.0,0.0
89,2020-04-29,2086.0,323.0,2311.0,0.0
90,2020-04-30,1872.0,285.0,4693.0,0.0
91,2020-05-01,1965.0,269.0,2304.0,0.0
92,2020-05-02,1900.0,474.0,1665.0,0.0
93,2020-05-03,1389.0,174.0,1740.0,0.0
94,2020-05-04,1221.0,195.0,1225.0,0.0
95,2020-05-05,1075.0,236.0,2352.0,0.0
96,2020-05-06,1444.0,369.0,8014.0,0.0
97,2020-05-07,1401.0,274.0,3031.0,0.0
98,2020-05-08,1327.0,243.0,2747.0,0.0
99,2020-05-09,1083.0,194.0,4008.0,0.0
100,2020-05-10,802.0,165.0,2155.0,0.0
101,2020-05-11,744.0,179.0,1401.0,0.0
102,2020-05-12,1402.0,172.0,2452.0,0.0
103,2020-05-13,888.0,195.0,3502.0,0.0
104,2020-05-14,992.0,262.0,2747.0,0.0
105,2020-05-15,789.0,242.0,4917.0,0.0
106,2020-05-16,875.0,153.0,2605.0,0.0
107,2020-05-17,675.0,145.0,2366.0,0.0
108,2020-05-18,451.0,99.0,2150.0,0.0
109,2020-05-19,813.0,162.0,2075.0,0.0
110,2020-05-20,665.0,161.0,2881.0,0.0
111,2020-05-21,642.0,156.0,2278.0,0.0
112,2020-05-22,652.0,130.0,2160.0,0.0
113,2020-05-23,669.0,119.0,2120.0,0.0
114,2020-05-24,531.0,50.0,1639.0,0.0
115,2020-05-25,300.0,92.0,1502.0,0.0
116,2020-05-26,397.0,78.0,2677.0,0.0
117,2020-05-27,584.0,117.0,2443.0,0.0
118,2020-05-28,593.0,70.0,3503.0,0.0
119,2020-05-29,516.0,87.0,2240.0,0.0
120,2020-05-30,416.0,111.0,2789.0,0.0
121,2020-05-31,333.0,75.0,1874.0,0.0
122,2020-06-01,200.0,60.0,848.0,0.0
123,2020-06-02,318.0,55.0,1737.0,0.0
124,2020-06-03,321.0,71.0,846.0,0.0
125,2020-06-04,177.0,88.0,957.0,0.0
126,2020-06-05,518.0,85.0,1886.0,0.0
127,2020-06-06,270.0,72.0,1297.0,0.0
128,2020-06-07,197.0,53.0,759.0,0.0
129,2020-06-08,280.0,65.0,747.0,0.0
130,2020-06-09,283.0,79.0,2062.0,0.0
131,2020-06-10,202.0,71.0,1293.0,0.0
132,2020-06-11,379.0,53.0,1399.0,0.0
133,2020-06-12,163.0,56.0,1747.0,0.0
134,2020-06-13,346.0,78.0,1780.0,0.0
135,2020-06-14,338.0,44.0,1505.0,0.0
136,2020-06-15,301.0,26.0,640.0,0.0
137,2020-06-16,210.0,34.0,1516.0,0.0
138,2020-06-17,328.0,43.0,929.0,0.0
139,2020-06-18,331.0,66.0,1089.0,0.0
140,2020-06-19,0.0,47.0,1363.0,0.0
141,2020-06-20,264.0,49.0,546.0,0.0
142,2020-06-21,224.0,24.0,440.0,0.0
143,2020-06-22,221.0,23.0,533.0,0.0
144,2020-06-23,113.0,18.0,1159.0,0.0
145,2020-06-24,577.0,0.0,1526.0,0.0
146,2020-06-25,296.0,34.0,614.0,0.0
147,2020-06-26,255.0,30.0,890.0,0.0
148,2020-06-27,175.0,8.0,969.0,0.0
149,2020-06-28,174.0,22.0,307.0,0.0
150,2020-06-29,126.0,6.0,305.0,0.0
151,2020-06-30,142.0,23.0,1052.0,0.0
152,2020-07-01,182.0,21.0,469.0,0.0
153,2020-07-02,201.0,30.0,366.0,0.0
154,2020-07-03,223.0,15.0,384.0,0.0
155,2020-07-04,235.0,21.0,477.0,0.0
156,2020-07-05,192.0,7.0,164.0,21.0
157,2020-07-06,208.0,8.0,133.0,67.0
158,2020-07-07,137.0,30.0,574.0,0.0
159,2020-07-08,193.0,15.0,825.0,0.0
160,2020-07-09,214.0,12.0,338.0,0.0
161,2020-07-10,276.0,12.0,295.0,0.0
162,2020-07-11,188.0,7.0,306.0,0.0
163,2020-07-12,234.0,9.0,349.0,0.0
164,2020-07-13,169.0,13.0,178.0,0.0
165,2020-07-14,114.0,17.0,335.0,0.0
166,2020-07-15,162.0,13.0,575.0,0.0
167,2020-07-16,230.0,20.0,230.0,0.0
168,2020-07-17,231.0,11.0,237.0,0.0
169,2020-07-18,249.0,14.0,323.0,0.0
170,2020-07-19,218.0,3.0,143.0,72.0
171,2020-07-20,190.0,13.0,213.0,0.0
172,2020-07-21,128.0,15.0,269.0,0.0
173,2020-07-22,280.0,9.0,197.0,74.0
174,2020-07-23,306.0,10.0,214.0,82.0
175,2020-07-24,252.0,5.0,350.0,0.0
176,2020-07-25,274.0,5.0,128.0,141.0
177,2020-07-26,254.0,5.0,126.0,123.0
178,2020-07-27,168.0,5.0,147.0,16.0
179,2020-07-28,202.0,11.0,163.0,28.0
180,2020-07-29,288.0,6.0,275.0,7.0
181,2020-07-30,382.0,3.0,765.0,0.0
182,2020-07-31,379.0,9.0,178.0,192.0
183,2020-08-01,295.0,5.0,255.0,35.0
184,2020-08-02,238.0,8.0,231.0,0.0
185,2020-08-03,159.0,12.0,129.0,18.0
186,2020-08-04,190.0,5.0,177.0,8.0
187,2020-08-05,384.0,10.0,210.0,164.0
188,2020-08-06,401.0,6.0,347.0,48.0
189,2020-08-07,552.0,3.0,319.0,230.0
190,2020-08-08,347.0,13.0,305.0,29.0
191,2020-08-09,463.0,2.0,151.0,310.0
192,2020-08-10,259.0,4.0,150.0,105.0
193,2020-08-11,412.0,6.0,213.0,193.0
194,2020-08-12,476.0,10.0,236.0,230.0
195,2020-08-13,522.0,6.0,226.0,290.0
196,2020-08-14,574.0,3.0,403.0,168.0
197,2020-08-15,629.0,158.0,314.0,157.0
198,2020-08-16,477.0,4.0,146.0,327.0
199,2020-08-17,320.0,4.0,182.0,134.0
200,2020-08-18,401.0,5.0,174.0,222.0
201,2020-08-19,642.0,7.0,364.0,271.0
202,2020-08-20,840.0,6.0,180.0,654.0
203,2020-08-21,947.0,9.0,274.0,664.0
204,2020-08-22,1071.0,3.0,243.0,825.0
205,2020-08-23,1209.0,7.0,267.0,935.0
206,2020-08-24,953.0,4.0,192.0,757.0
207,2020-08-25,876.0,4.0,353.0,519.0
208,2020-08-26,1366.0,13.0,314.0,1039.0
209,2020-08-27,1409.0,5.0,225.0,1179.0
210,2020-08-28,1460.0,9.0,348.0,1103.0
211,2020-08-29,1444.0,1.0,1322.0,121.0
212,2020-08-30,1365.0,4.0,312.0,1049.0
213,2020-08-31,996.0,6.0,0.0,1873.0
214,2020-09-01,975.0,8.0,291.0,676.0
215,2020-09-02,1326.0,6.0,257.0,1063.0
216,2020-09-03,1397.0,10.0,289.0,1098.0
217,2020-09-04,1732.0,11.0,537.0,1184.0
218,2020-09-05,1694.0,16.0,583.0,1095.0
219,2020-09-06,1296.0,7.0,405.0,884.0
220,2020-09-07,1150.0,12.0,223.0,915.0
221,2020-09-08,1369.0,10.0,563.0,796.0
222,2020-09-09,1430.0,14.0,471.0,945.0
223,2020-09-10,1597.0,10.0,613.0,974.0
224,2020-09-11,1616.0,10.0,547.0,1059.0
225,2020-09-12,1501.0,6.0,759.0,736.0
226,2020-09-13,1456.0,7.0,443.0,1006.0
227,2020-09-14,1008.0,14.0,316.0,678.0
228,2020-09-15,1229.0,9.0,695.0,525.0
229,2020-09-16,1452.0,12.0,620.0,820.0
230,2020-09-17,1583.0,13.0,689.0,881.0
231,2020-09-18,1907.0,10.0,853.0,1044.0
232,2020-09-19,1637.0,24.0,909.0,704.0
233,2020-09-20,1587.0,15.0,635.0,937.0
234,2020-09-21,1350.0,17.0,352.0,981.0
235,2020-09-22,1391.0,14.0,967.0,410.0
236,2020-09-23,1640.0,20.0,995.0,625.0
237,2020-09-24,1786.0,23.0,1097.0,666.0
238,2020-09-25,1912.0,20.0,954.0,938.0
239,2020-09-26,1869.0,17.0,977.0,875.0
240,2020-09-27,1766.0,17.0,724.0,1025.0
241,2020-09-28,1494.0,16.0,773.0,705.0
242,2020-09-29,1647.0,24.0,1316.0,307.0
243,2020-09-30,1850.0,19.0,1198.0,633.0
244,2020-10-01,2548.0,24.0,1140.0,1384.0
245,2020-10-02,2499.0,23.0,1126.0,1350.0
246,2020-10-03,2843.0,27.0,1247.0,1569.0
247,2020-10-04,2578.0,18.0,697.0,1863.0
248,2020-10-05,2257.0,16.0,767.0,1474.0
249,2020-10-06,2677.0,28.0,1418.0,1231.0
250,2020-10-07,3677.0,31.0,1204.0,2442.0
251,2020-10-08,4458.0,22.0,1060.0,3376.0
252,2020-10-09,5372.0,28.0,1186.0,4158.0
253,2020-10-10,5724.0,29.0,976.0,4719.0
254,2020-10-11,5456.0,26.0,1184.0,4246.0
255,2020-10-12,4619.0,39.0,891.0,3689.0
256,2020-10-13,5898.0,41.0,1428.0,4429.0
257,2020-10-14,7332.0,43.0,2037.0,5252.0
258,2020-10-15,8803.0,83.0,1899.0,6821.0
259,2020-10-16,10009.0,55.0,1908.0,8046.0
260,2020-10-17,10925.0,47.0,1255.0,9623.0
261,2020-10-18,11705.0,69.0,2334.0,9302.0
262,2020-10-19,9337.0,73.0,1498.0,7766.0
