,Date,Confirmed_Distinct,Deaths_Distinct,Recovered_Distinct,Active_Distinct
0,2020-01-31,2.0,1.0,0.0,2.0
1,2020-02-01,0.0,0.0,0.0,0.0
2,2020-02-02,0.0,1.0,0.0,0.0
3,2020-02-03,6.0,0.0,0.0,6.0
4,2020-02-04,0.0,0.0,0.0,0.0
5,2020-02-05,1.0,0.0,0.0,1.0
6,2020-02-06,0.0,0.0,0.0,0.0
7,2020-02-07,0.0,0.0,0.0,0.0
8,2020-02-08,4.0,0.0,0.0,4.0
9,2020-02-09,1.0,0.0,0.0,1.0
10,2020-02-10,0.0,0.0,0.0,0.0
11,2020-02-11,1.0,0.0,0.0,1.0
12,2020-02-12,1.0,0.0,1.0,0.0
13,2020-02-13,1.0,0.0,0.0,1.0
14,2020-02-14,1.0,0.0,0.0,1.0
15,2020-02-15,0.0,0.0,0.0,0.0
16,2020-02-16,0.0,0.0,7.0,0.0
17,2020-02-17,1.0,0.0,0.0,1.0
18,2020-02-18,0.0,0.0,0.0,0.0
19,2020-02-19,1.0,0.0,0.0,1.0
20,2020-02-20,2.0,0.0,0.0,2.0
21,2020-02-21,1.0,0.0,0.0,1.0
22,2020-02-22,0.0,1.0,0.0,0.0
23,2020-02-23,5.0,0.0,0.0,5.0
24,2020-02-24,2.0,0.0,0.0,2.0
25,2020-02-25,4.0,0.0,0.0,4.0
26,2020-02-26,3.0,0.0,0.0,3.0
27,2020-02-27,7.0,0.0,0.0,7.0
28,2020-02-28,12.0,0.0,0.0,12.0
29,2020-02-29,5.0,0.0,0.0,5.0
30,2020-03-01,33.0,0.0,0.0,33.0
31,2020-03-02,40.0,1.0,0.0,40.0
32,2020-03-03,55.0,0.0,0.0,55.0
33,2020-03-04,57.0,1.0,0.0,57.0
34,2020-03-05,49.0,2.0,0.0,49.0
35,2020-03-06,79.0,2.0,0.0,78.0
36,2020-03-07,55.0,0.0,10.0,44.0
37,2020-03-08,54.0,2.0,0.0,54.0
38,2020-03-09,147.0,5.0,0.0,146.0
39,2020-03-10,258.0,3.0,1.0,253.0
40,2020-03-11,411.0,7.0,0.0,411.0
41,2020-03-12,489.0,13.0,0.0,487.0
42,2020-03-13,480.0,16.0,0.0,479.0
43,2020-03-14,364.0,21.0,0.0,345.0
44,2020-03-15,442.0,31.0,0.0,428.0
45,2020-03-16,612.0,52.0,2.0,587.0
46,2020-03-17,770.0,58.0,32.0,721.0
47,2020-03-18,1006.0,74.0,15.0,957.0
48,2020-03-19,1061.0,79.0,0.0,1015.0
49,2020-03-20,1255.0,118.0,0.0,1223.0
50,2020-03-21,1197.0,144.0,0.0,1139.0
51,2020-03-22,1423.0,182.0,0.0,1388.0
52,2020-03-23,2349.0,208.0,0.0,2273.0
53,2020-03-24,2392.0,263.0,73.0,2171.0
54,2020-03-25,2708.0,337.0,0.0,2517.0
55,2020-03-26,3111.0,413.0,10.0,2920.0
56,2020-03-27,3245.0,464.0,1.0,2955.0
57,2020-03-28,2852.0,516.0,0.0,2560.0
58,2020-03-29,2894.0,586.0,0.0,2682.0
